champ,description_question,variable_reponse,description_reponse,,,,,,
Q36r4,Q36r4: Groupe ou association culturelle ou religieuse - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Groupe ou association culturelle ou religieuse,,,,,,
Q36r4,Q36r4: Groupe ou association culturelle ou religieuse - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Groupe ou association culturelle ou religieuse,,,,,,
Q36r5,Q36r5: Organisme d'aide aux immigrants ou réfugiés - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Organisme d'aide aux immigrants ou réfugiés,,,,,,
Q36r5,Q36r5: Organisme d'aide aux immigrants ou réfugiés - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Organisme d'aide aux immigrants ou réfugiés,,,,,,
Q36r6,Q36r6: Centre ou organisme communautaire - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Centre ou organisme communautaire,,,,,,
Q36r6,Q36r6: Centre ou organisme communautaire - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Centre ou organisme communautaire,,,,,,
Q36r7,Q36r7: Organisme gouvernemental - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Organisme gouvernemental,,,,,,
Q36r7,Q36r7: Organisme gouvernemental - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Organisme gouvernemental,,,,,,
Q36r8,Q36r8: Agent immobilier/courtier - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Agent immobilier/courtier,,,,,,
Q36r8,Q36r8: Agent immobilier/courtier - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Agent immobilier/courtier,,,,,,
Q36r96,Q36r96: Autre (PRÉCISER) - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Autre (PRÉCISER),,,,,,
Q36r96,Q36r96: Autre (PRÉCISER) - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Autre (PRÉCISER),,,,,,
Q36r97,Q36r97: Je n’ai jamais cherché/Je n’ai jamais eu besoin de telles informations - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Je n’ai jamais cherché/Je n’ai jamais eu besoin de telles informations,,,,,,
Q36r97,Q36r97: Je n’ai jamais cherché/Je n’ai jamais eu besoin de telles informations - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Je n’ai jamais cherché/Je n’ai jamais eu besoin de telles informations,,,,,,
Q36r98,Q36r98: Je ne sais pas - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Je ne sais pas,,,,,,
Q36r98,Q36r98: Je ne sais pas - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Je ne sais pas,,,,,,
Q36r99,Q36r99: Je préfère ne pas répondre - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q36r99,Q36r99: Je préfère ne pas répondre - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Je préfère ne pas répondre,,,,,,
Q37,Q37: Avez-vous déjà connu des difficultés pour trouver un logement qui correspond à vos besoins?,1,Oui,,,,,,
Q37,Q37: Avez-vous déjà connu des difficultés pour trouver un logement qui correspond à vos besoins?,2,Non,,,,,,
Q37,Q37: Avez-vous déjà connu des difficultés pour trouver un logement qui correspond à vos besoins?,8,Je ne sais pas,,,,,,
Q37,Q37: Avez-vous déjà connu des difficultés pour trouver un logement qui correspond à vos besoins?,9,Je préfère ne pas répondre,,,,,,
Q38r1,Q38r1: Non connaissance des langues officielles - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Non connaissance des langues officielles,,,,,,
Q38r1,Q38r1: Non connaissance des langues officielles - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Non connaissance des langues officielles,,,,,,
Q38r2,Q38r2: Ne sait pas comment trouver une maison ou un appartement - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Ne sait pas comment trouver une maison ou un appartement,,,,,,
Q38r2,Q38r2: Ne sait pas comment trouver une maison ou un appartement - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Ne sait pas comment trouver une maison ou un appartement,,,,,,
Q38r3,Q38r3: Pas de famille ou d'amis pour l'aider - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Pas de famille ou d'amis pour l'aider,,,,,,
Q38r3,Q38r3: Pas de famille ou d'amis pour l'aider - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Pas de famille ou d'amis pour l'aider,,,,,,
Q38r4,Q38r4: Coût trop élevé - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Coût trop élevé,,,,,,
Q38r4,Q38r4: Coût trop élevé - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Coût trop élevé,,,,,,
Q38r5,Q38r5: Ne trouve pas de logement qui lui convienne - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Ne trouve pas de logement qui lui convienne,,,,,,
Q38r5,Q38r5: Ne trouve pas de logement qui lui convienne - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Ne trouve pas de logement qui lui convienne,,,,,,
Q38r6,Q38r6: Peu de logements disponibles - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Peu de logements disponibles,,,,,,
Q38r6,Q38r6: Peu de logements disponibles - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Peu de logements disponibles,,,,,,
Q38r7,Q38r7: Discrimination - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Discrimination,,,,,,
Q38r7,Q38r7: Discrimination - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Discrimination,,,,,,
Q38r8,Q38r8: N'a pas de garant/cosignataire/cote de crédit - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: N'a pas de garant/cosignataire/cote de crédit,,,,,,
Q38r8,Q38r8: N'a pas de garant/cosignataire/cote de crédit - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,N'a pas de garant/cosignataire/cote de crédit,,,,,,
Q38r9,Q38r9: Mauvaises interactions avec le propriétaire - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Mauvaises interactions avec le propriétaire,,,,,,
Q38r9,Q38r9: Mauvaises interactions avec le propriétaire - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Mauvaises interactions avec le propriétaire,,,,,,
Q38r96,Q38r96: Autre (PRÉCISER) - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Autre (PRÉCISER),,,,,,
Q38r96,Q38r96: Autre (PRÉCISER) - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Autre (PRÉCISER),,,,,,
Q38r98,Q38r98: Je ne sais pas - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Je ne sais pas,,,,,,
Q38r98,Q38r98: Je ne sais pas - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Je ne sais pas,,,,,,
Q38r99,Q38r99: Je préfère ne pas répondre - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q38r99,Q38r99: Je préfère ne pas répondre - Quelles difficultés avez-vous eues pour trouver un logement qui correspond à vos besoins?,1,Je préfère ne pas répondre,,,,,,
Q39r1,Q39r1: Depuis combien de temps habitez-vous dans votre logement actuel?,,,,,,,,
Q39_r0,noanswerQ39_r0: Depuis combien de temps habitez-vous dans votre logement actuel?: Moins d’un an - No Answer,0,NO TO: Depuis combien de temps habitez-vous dans votre logement actuel?: Moins d’un an,,,,,,
Q39_r0,noanswerQ39_r0: Depuis combien de temps habitez-vous dans votre logement actuel?: Moins d’un an - No Answer,1,Depuis combien de temps habitez-vous dans votre logement actuel?: Moins d’un an,,,,,,
Q40r1,Q40r1: Combien de fois avez-vous déménagé au cours des 5 dernières années?,,,,,,,,
Q40_r0,noanswerQ40_r0: Combien de fois avez-vous déménagé au cours des 5 dernières années?: Aucune - No Answer,0,NO TO: Combien de fois avez-vous déménagé au cours des 5 dernières années?: Aucune,,,,,,
Q40_r0,noanswerQ40_r0: Combien de fois avez-vous déménagé au cours des 5 dernières années?: Aucune - No Answer,1,Combien de fois avez-vous déménagé au cours des 5 dernières années?: Aucune,,,,,,
Q41,"Q41: Vous est-il déjà arrivé de déménager pour une raison involontaire (éviction, trop cher, logement insalubre)?",1,Oui,,,,,,
Q41,"Q41: Vous est-il déjà arrivé de déménager pour une raison involontaire (éviction, trop cher, logement insalubre)?",2,Non,,,,,,
Q41,"Q41: Vous est-il déjà arrivé de déménager pour une raison involontaire (éviction, trop cher, logement insalubre)?",8,Je ne sais pas,,,,,,
Q41,"Q41: Vous est-il déjà arrivé de déménager pour une raison involontaire (éviction, trop cher, logement insalubre)?",9,Je préfère ne pas répondre,,,,,,
Q42,Q42: Vous sentez-vous Montréalais.e?,1,"Oui, je me sens tout à fait Montréalais.e",,,,,,
Q42,Q42: Vous sentez-vous Montréalais.e?,2,"Oui, je me sens plutôt Montréalais.e",,,,,,
Q42,Q42: Vous sentez-vous Montréalais.e?,3,Je ne me sens pas vraiment Montréalais.e,,,,,,
Q42,Q42: Vous sentez-vous Montréalais.e?,4,Je ne me sens pas du tout Montréalais.e,,,,,,
Q42,Q42: Vous sentez-vous Montréalais.e?,8,Je ne sais pas,,,,,,
Q42,Q42: Vous sentez-vous Montréalais.e?,9,Je préfère ne pas répondre,,,,,,
Q43,Q43: Diriez-vous qu’il fait bon de vivre à Montréal?,1,Il fait très bon vivre à Montréal,,,,,,
Q43,Q43: Diriez-vous qu’il fait bon de vivre à Montréal?,2,Il fait plutôt bon vivre à Montréal,,,,,,
Q43,Q43: Diriez-vous qu’il fait bon de vivre à Montréal?,3,Il ne fait pas très bon vivre à Montréal,,,,,,
Q43,Q43: Diriez-vous qu’il fait bon de vivre à Montréal?,4,Il ne fait pas bon vivre du tout à Montréal,,,,,,
Q43,Q43: Diriez-vous qu’il fait bon de vivre à Montréal?,8,Je ne sais pas,,,,,,
Q43,Q43: Diriez-vous qu’il fait bon de vivre à Montréal?,9,Je préfère ne pas répondre,,,,,,
Q44,Q44: Dans quelle mesure diriez-vous que les Montréalais sont accueillants envers les personnes immigrantes?,1,Très accueillants,,,,,,
Q44,Q44: Dans quelle mesure diriez-vous que les Montréalais sont accueillants envers les personnes immigrantes?,2,Plutôt accueillants,,,,,,
Q44,Q44: Dans quelle mesure diriez-vous que les Montréalais sont accueillants envers les personnes immigrantes?,3,Pas vraiment accueillants,,,,,,
Q44,Q44: Dans quelle mesure diriez-vous que les Montréalais sont accueillants envers les personnes immigrantes?,4,Pas accueillants du tout,,,,,,
Q44,Q44: Dans quelle mesure diriez-vous que les Montréalais sont accueillants envers les personnes immigrantes?,8,Je ne sais pas,,,,,,
Q44,Q44: Dans quelle mesure diriez-vous que les Montréalais sont accueillants envers les personnes immigrantes?,9,Je préfère ne pas répondre,,,,,,
Q45,"Q45: Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...?",1,Très fort,,,,,,
Q45,"Q45: Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...?",2,Plutôt fort,,,,,,
Q45,"Q45: Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...?",3,Plutôt faible,,,,,,
Q45,"Q45: Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...?",4,Très faible,,,,,,
Q45,"Q45: Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...?",8,Je ne sais pas,,,,,,
Q45,"Q45: Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...?",9,Je préfère ne pas répondre,,,,,,
Q46,Q46: Vous sentez-vous isolé à Montréal?,1,Beaucoup,,,,,,
Q46,Q46: Vous sentez-vous isolé à Montréal?,2,Assez,,,,,,
Q46,Q46: Vous sentez-vous isolé à Montréal?,3,Peu,,,,,,
Q46,Q46: Vous sentez-vous isolé à Montréal?,4,Pas du tout,,,,,,
Q46,Q46: Vous sentez-vous isolé à Montréal?,8,Je ne sais pas,,,,,,
Q46,Q46: Vous sentez-vous isolé à Montréal?,9,Je préfère ne pas répondre,,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",1,Tous/Toutes,,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",2,La majorité,,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",3,À peu près la moitié,,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",4,Quelques-uns / Quelques-unes,,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",97,Aucun(e),,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",98,Je ne sais pas,,,,,,
Q47,"Q47: Parmi tous vos amis, combien d’entre eux/elles ont la même langue maternelle que vous?",99,Je préfère ne pas répondre,,,,,,
Q47B,Q47B: Est-ce que vous estimez que vous avez un groupe d’ami diversifié en matière d’origine ethnoculturelle?,1,Très diversifié,,,,,,
Q47B,Q47B: Est-ce que vous estimez que vous avez un groupe d’ami diversifié en matière d’origine ethnoculturelle?,2,Assez diversifié,,,,,,
Q47B,Q47B: Est-ce que vous estimez que vous avez un groupe d’ami diversifié en matière d’origine ethnoculturelle?,3,Peu diversifié,,,,,,
Q47B,Q47B: Est-ce que vous estimez que vous avez un groupe d’ami diversifié en matière d’origine ethnoculturelle?,4,Pas du tout diversifié,,,,,,
Q47B,Q47B: Est-ce que vous estimez que vous avez un groupe d’ami diversifié en matière d’origine ethnoculturelle?,8,Je ne sais pas,,,,,,
Q47B,Q47B: Est-ce que vous estimez que vous avez un groupe d’ami diversifié en matière d’origine ethnoculturelle?,9,Je préfère ne pas répondre,,,,,,
